type,subType,author,addressee,title,"editorList
",titleVolume,journal,partANDvol,place,"publisher
",date,pages,link
Fonte,Letteraria,Giacomo Leopardi,,Zibaldone,Giuseppe Pacella,,,vol. II,Milano,Garzanti,1991,1365,
Fonte,Letteraria,Alessandro Melani,,"Giudicio sopra la 
canzon del Charo 
Venite a l'ombra",Giuseppe Cavazzuti ,"Lodovico 
Castelvetro",,,Modena,"Società Tipografica 
Modenese",1903,"27-33 
(appendice)",https://archive.org/stream/lodovicocastelv00cavagoog#page/n0/mode/2up
Fonte,Letteraria,Gaetano Righi,,"Un codice latino del 
Cinquecento",,,,,Bologna,Cappelli,1951,,
Fonte,Letteraria,Torquato Tasso ,,Dialoghi,Ezio Raimondi,,,,Firenze,Sansoni,1958,747-781,
Fonte,Letteraria,Francesco Tolli ,,"Lucia Dall'Oro o la 
contesa fra Annibal 
Caro e Lodovico 
Castelvetro",,,,,Roma,"Tipografia della
 pace",1881,,
Fonte,Letteraria,Benedetto Varchi,,L'Hercolano,Antonio Sorella,,,,Pescara,"Libreria 
dell'Università",1995,,
Bibliografia,Monografia,,,"Poeti del Cinquecento, I. Poeti lirici, burleschi, satirici e didascalici","G. Gorni, M. Danzi, S. 
Longhi",,,,"Milano, Napoli",Ricciardi,2001,550-554,
Bibliografia,Capitolo di libro,Giancarlo Alfano,,"Un critico al pie'
della lettera. Sul 
metodo critico di 
Lodovico Castelvetro ","Massimo Firpo, Guido 
Mongini","Ludovico 
Castelvetro. Letterati 
e grammatici nella 
crisi religiosa del 
Cinquecento. Atti della XIII giornata Luigi Firpo. Torino, 21-22 settembre 2006",,,Firenze,Olschki,2008,225-240,
Bibliografia,Capitolo di libro,Elisabetta Arcari ,,"La Ragione di 
Ludovico 
Castelvetro e le sue 
fonti: studio per 
un'edizione critica","Massimo Firpo, Guido 
Mongini","Ludovico 
Castelvetro. Letterati 
e grammatici nella 
crisi religiosa del 
Cinquecento. Atti della XIII giornata Luigi Firpo. Torino, 21-22 settembre 2006",,,Firenze,Olschki,2008,65-89,
Bibliografia,Capitolo di libro,Vittorio Cian,,"La vita e le opere 
di A. Caro","Annibale Caro, Ernesto 
Spadolini",Scritti scelti,,,Milano,Francesco Vallardi,1912,XXVI-XXXII,
Bibliografia,Monografia,Giuseppe Cavazzuti,,"Lodovico 
Castelvetro ",,,,,Modena,"Società tipografica 
modenese",1903,93-119,https://archive.org/stream/lodovicocastelv00cavagoog#page/n0/mode/2up
Bibliografia,Articolo in rivista,Carlo Dionisotti,,"Annibal Caro e il 
Rinascimento",,,Cultura e scuola,"V, 1956",,,,26-35,
Bibliografia,Capitolo di libro,Giulio Ferroni,,"Il modello cortigiano 
tra «giudizio» ed 
«eccesso»: l'Apologia del Caro contro il Castelvetro",Amedeo Quondam,"Le corti farnesiane 
di Parma e Piacenza 
(1545-1622)",,vol. II,Roma,Bulzoni ,1978,25-62,
Bibliografia,Monografia,"Massimo Firpo, Dario 
Marcatto, Luca Addante, 
Guido Mongini, Lorenzo 
Sinisi",,"Il processo 
inquisitoriale del 
cardinal Giovanni 
Morone. Nuova 
edizione critica",,,,voll. I-III,Roma,"Libreria Editrice 
Vaticana",2011-2015,ad indicem,
Bibliografia,Articolo in rivista,Marc Fumaroli,,"Les premiers siècles 
de la République 
européenne des 
Lettres",,,Lettere italiane,"LVII, 2005",,,,41395,
Bibliografia,Articolo in rivista,Enrico Garavelli,,"Annibal Caro, 
Venite a l’ombra 
de’ gran giglio d’oro","Carlo Caruso, William
Spaggiari","Filologia e storia
letteraria. Studi per 
Roberto Tissoni",,,Roma,"Edizioni di Storia e 
Letteratura",2008,207-222,
Bibliografia,Capitolo di libro,Enrico Garavelli,,"Prime scintille tra 
Caro e Castelvetro 
(1554-1555)",Matteo M. Pedroni,"«Parlar l’idioma 
soave». Studi di 
filologia, letteratura
 e storia della lingua
 offerti a Gianni A.
 Papini",,,Novara,Interlinea,2003,131-145,
Bibliografia,Articolo in rivista,Stefano Jacomuzzi,,"Nota in margine alla
 polemica
 Caro-Castelvetro:
 i sonetti de
 «La Civetta» di 
Lattanzio Benucci",,,Lettere italiane,"XXVIII, 1976",,,,197-204,
Bibliografia,Capitolo di libro,Stefano Jossa,,"Castelvetro, Caro e 
Ronsard",Roberto Gigliucci,"Lodovico 
Castelvetro: filologia 
e ascesi",,,Roma,Bulzoni ,2007,289-304,
Bibliografia,Capitolo di libro,Salvatore Lo Re,,"Lodovico
 Castelvetro e 
Annibal Caro:
 storia di una 
controversia tra 
letteratura ed eresia","Massimo Firpo, Guido 
Mongini","Ludovico 
Castelvetro. 
Letterati e 
grammatici nella 
crisi religiosa del 
Cinquecento. Atti
 della XIII giornata
 Luigi Firpo. 
Torino, 21-22 
settembre 2006",,,Firenze,Olschki,2008,91-112,
Bibliografia,Articolo in rivista,Salvatore Lo Re,,"«Venite a l’ombra 
de’ gran gigli d’oro».
 Retroscena politici 
di una celebre 
controversia letteraria 
(1553-1559)",,,"Giornale storico 
della letteratura 
italiana","CLXXXII, 2005",,,,362-396,
Bibliografia,Capitolo di libro,Albert N. Mancini,,"In margine alla 
polemica tra A. 
Caro e L. 
Castelvetro. 
Un capitolo inedito 
di Francesco 
Bolognetti ad 
Alberico Longo",Maria Cristina Cafisse,"Rinascimento 
meridionale e altri 
studi",,,Napoli,"Società Editoriale 
Napoletana",1987,225-240,
Bibliografia,Monografia,Giancarlo Mazzacurati,,"Il rinascimento dei 
moderni. La crisi 
culturale del XVI 
secolo e la 
negazione delle origini",,,,,Bologna,Il Mulino,1985,254-255,
Bibliografia,Capitolo di libro,Ludovico Antonio Muratori,,"Vita di Lodovico 
Castelvetro 
composta dal sig. 
Lodovico Antonio 
Muratori bibliotecario 
del sereniss. sig. 
duca di Modena","Ludovico Antonio 
Muratori","Opere varie 
critiche di Lodovico
 Castelvetro 
gentiluomo modenese
 non più stampate,
 colla vita dell’autore
 scritta dal sig. 
proposto Lodovico 
Antonio Muratori 
bibliotecario del 
ser.mo sig. duca 
di Modena",,,Berna,Pietro Foppens,1727,28491,https://books.google.it/books?id=QYgHAAAAQAAJ&pg=PA1&dq=Vita+di+Lodovico+Castelvetro&hl=it&ei=F2x_Td-TF8PItAbA8YzwBg&sa=X&oi=book_result&ct=result&resnum=1&ved=0CCoQ6AEwAA#v=onepage&q=Vita%20di%20Lodovico%20Castelvetro&f=false
Bibliografia,Monografia,Susanna Peyronel Rambaldi,,"Speranze e crisi nel
 Cinquecento 
modenese. Tensioni 
religiose e vita 
cittadina ai tempi di
 Giovanni Morone",,,,,Milano,Franco Angeli,1979,ad indicem,
Bibliografia,Monografia,Attilio Ploncher,,"Della vita e delle 
opere di Lodovico 
Castelvetro",,,,,Conegliano,Cagnani,1879,22 sgg.,
Bibliografia,Voce enciclopedica,Samuele Reggiani,,"Castelvetro, 
Ludovico",,"Dizionario di 
eretici, dissidenti e 
inquisitori nel 
mondo 
mediterraneo",,,,,2017,,http://www.ereticopedia.org/ludovico-castelvetro
Bibliografia,Capitolo di libro,Alberto Roncaccia,,"La critica alla 
canzone Venite a 
l’ombra de’gran 
gigli d’oro",Alberto Roncaccia,"Il metodo critico di 
Ludovico Castelvetro",,,Roma,Bulzoni ,2006,265-293,
Bibliografia,Monografia,Tommaso Sandonnini,,"Lodovico Castelvetro
e la sua famiglia",,,,,Bologna,Nicola Zanichelli,1882,45-104,
Bibliografia,Capitolo di libro,Anton Federigo Seghezzi,,"La vita del 
Commendatore 
Annibal Caro, 
scritta da Anton 
Federigo Seghezzi,
 e da lui ampliata",Anton Federigo Seghezzi,"Lettere del 
commendatore 
Annibal Caro 
distribuite ne’ loro 
varj argomenti colla
 vita dell’autore 
scritta da Anton 
Federigo Seghezzi",,vol. I,Milano,Pietro Angeli,1818,14366,
Bibliografia,Voce enciclopedica,Girolamo Tiraboschi ,,"Biblioteca modenese
 o Notizie della vita 
e delle opere degli 
scrittori natii degli 
stati del serenissimo 
duca di Modena 
raccolte e ordinate 
dal cavaliere ab. 
Girolamo Tiraboschi",,,,t. I,Modena,"Società Tipografica 
Modenese",1781-1786,434-485,
Bibliografia,Monografia,Vincenzo Vivaldi,,"Una polemica nel 
Cinquecento e le 
controversie intorno
 alla nostra lingua.
 Studii di storia 
letteraria",,,,,Napoli,Antonio Morano,1891,ad indicem,
