type,subType,author,addressee,title,"editorList
",titleVolume,journal,partANDvol,place,"publisher
",date,pages,link
Bibliografia,Monografia, W. Setz,,,,Lorenzo Vallas Schrift gegen die Konstantinische Schenkung (De falso credita et ementita Constantini donatione). Zur Interpretation und Wirkungsgeschichte,,, Tubingen,Max Niemeyer Verlag,1975,,
Fonte,letteraria,Laurentius Valla,,,W. Setz,De falso credita et ementita Constantini Donatione,,MGH QQ zur Geistesgesch. 10,Weimar,Herman Böhlau,1976,,http://www.dmgh.de/de/fs1/object/display/bsb00000635_meta:titlePage.html?sort=score&order=desc&divisionTitle_str=&hl=false&fulltext=de+falso+credita+et&sortIndex=060:010:0010:010:00:00&context=de%20falso%20credita%20et
Bibliografia,Monografia,G. Antonazzi,,,, Lorenzo Valla e la polemica sulla Donazione di Costantino,,,Roma,Edizioni di storia e letteratura,1985,,
Bibliografia,Capitolo di libro,A. Sottili,, Notizie sul ‘Nachleben’ di Valla tra Umanesimo e Riforma, O. Besomi e M. Regoliosi,Lorenzo Valla e l’Umanesimo italiano,,, Padova,Antenore,1986,,
Bibliografia,Voce enciclopedica,J. Hirmsher,,L’imperatore Costantino nel giudizio dei riformatori tedeschi, G. Bonamente e F. Fusco," Costantino il Grande dall’Antichità all’Umanesimo (Macerata, 18-20 Dicembre 1990)",,,Macerata, Università degli studi di Macerata,1992,487-493,http://www.constantinusmagnus.unipg.it/www.constantinusmagnus.unipg.it/doc_pdf/Irmscher.Il%20giudizio%20dei%20riformatori%20tedeschi.pdf
Bibliografia,Articolo in rivista,R. K. Delph,,"Valla Grammaticus, Agostino Steuco and the Donation of Constantine",,,Journal of the History of Ideas  ,57 (Jan. 1996),,,1996,55-77,
Bibliografia,Monografia, T. Freudenberger,,,,"Augustinus Steuchus aus Gubbio, Augustinerchorherr und päpstlicher Bibliothekar (1497-1548) und sein literarisches Lebenswerk",,,Münster,Aschendorff,2005,,
Bibliografia,Capitolo di libro,R. K. Delph,,Emending and Defending the Vulgate Old Testament: Agostino Steuco's Quarrel with Erasmus, E. Rummel,Biblical humanism and scholasticism in the age of  Erasmus,,, Leida,Brill,2008,297-318,
Bibliografia,Articolo in rivista,D. M. Whitford,,The Papal Antichrist: Martin Luther and the underappreciated influence of Lorenzo Valla,,,Renaissance Quarterly, LXI,,,2008,26-52,
Bibliografia,Articolo in rivista, M. Regoliosi,,Lorenzo Valla e la Riforma del XVI secolo,,,Studia Philologica Valentina,X,,,2010,25-45,http://www.uv.es/sphv/10/02_regoliosi10.pdf
Bibliografia,Voce enciclopedica,F. Motta,,Costantino e la teologia 'romana'. Figure della gerarchia dei poteri nella pubblicistica di parte papale (secoli XV-XVIII),,Enciclopedia Costantiniana,,,,,2013,,http://www.treccani.it/enciclopedia/costantino-e-la-teologia-romana-figure-della-gerarchia-dei-poteri-nella-pubblicistica-di-parte-papale_%28Enciclopedia-Costantiniana%29/
Bibliografia,Voce enciclopedica,D. M. Whitford,,Lutero e Costantino,,Enciclopedia Costantiniana,,,,,2013,,http://www.treccani.it/enciclopedia/lutero-e-costantino_%28Enciclopedia-Costantiniana%29/
Bibliografia,Articolo in rivista,F. Congedo,,Il  «Constitutum Constantini» in Terra d'Otranto e l'autografo di Antonio Galateo (in corso di stampa),P. Viti,Novità e tradizione in Antonio Galateo,,,Lecce,Milella,2017,,
Bibliografia,Capitolo di libro,F. Congedo,,Sulla fortuna delle edizioni a stampa del «Constitutum Constantini» di Bartolomeo Picerno nel Cinquecento (in corso di stampa),,,Archivum Mentis,VII,,,2018,211-228,
,,S.Nicolai,,Compendio della vita ed opere del dottissimo e celebratissimo monsignore Agostino Steuco,,,,,Roma,Perego-Salvioni,1829,,https://books.google.it/books?id=1H09NfnUCy8C&pg=PA1&dq=Biografia+di+Mons.+Agostino+STEUCO+Canonico+Regolare+%E2%80%93+Vescovo+di+Kisamo+e+Bibliotecario+della+Vaticana&hl=it&sa=X&ved=0ahUKEwjZx5OS3JLWAhVWFMAKHbHyDFIQ6AEIKTAA#v=onepage&q=Biografia%20di%20Mons.%20Agostino%20STEUCO%20Canonico%20Regolare%20%E2%80%93%20Vescovo%20di%20Kisamo%20e%20Bibliotecario%20della%20Vaticana&f=false
